listing_id,name,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,reviews_per_month,availability_365
19194937,Comfortable and convenient to downtown San Diego,92102,32.71487,-117.14545,Private room,100.0,7.0,13.0,2019-07-22,3.0,,
37691928,"Small Room in a Peaceful, Quiet Home",92123,32.79832,-117.14022,Private room,23.0,30.0,0.0,,0.0,,
32845294,Bed in 2 Bed Mixed Dorm at ITH Colive Balboa Park,92103,32.74673,-117.15833,Shared room,24.0,28.0,0.0,,7.0,,
36858222,Seaside-themed Private Bedroom is Perfect Retreat,92123,32.78834,-117.14491,Private room,48.0,14.0,0.0,,2.0,,
11244715,Great location Private Room &Bath Near Beach UCSD!,92117,32.81838,-117.2109,Private room,45.0,14.0,7.0,2019-08-11,2.0,,
32843305,Bed in 4 Bed Mixed Dorm ITH Colive Balboa Park,92103,32.74548,-117.1602,Shared room,22.0,28.0,0.0,,7.0,,
32866653,Bed in 4 Bed Female Dorm at ITH Colive Balboa Park,92103,32.74508,-117.16038,Shared room,22.0,28.0,0.0,,7.0,,
13112495,Heart of San Diego,92103,32.74523,-117.16441,Entire home/apt,300.0,2.0,0.0,,1.0,,
18599389,Private room and Private Bathroom,92108,32.76757,-117.16002,Private room,300.0,2.0,0.0,,1.0,,
29797194,1 Bed with private bath in 2bed/2 bath apt,92115,32.76305,-117.06605,Private room,30.0,20.0,0.0,,1.0,,
2812322,Gorgeous master bed with ensuite,92104,32.74587,-117.12633,Private room,140.0,4.0,23.0,2019-07-18,2.0,,
6215705,Bright and Cozy Room in a Beautiful home,92126,32.93495,-117.13312,Private room,55.0,10.0,5.0,2018-08-11,2.0,,
18409445,1 Bedroom in Pacific Beach,92109,32.79652,-117.24827,Entire home/apt,109.0,5.0,0.0,,1.0,,
32866784,Bed in 8 Bed Mixed Dorm at ITH Colive Balboa Park,92103,32.7471,-117.15845,Shared room,19.0,28.0,0.0,,7.0,,
6689831,Bedroom and Private Bathroom in PB + parking,92109,32.79804,-117.22887,Private room,265.0,2.0,1.0,2015-07-07,1.0,,
29452722,Sunset Cliffs month-to-month,92107,32.73353,-117.2503,Private room,75.0,7.0,0.0,,6.0,,
35882560,Resort Style living in a Private Community.,92124,32.79315,-117.10769,Private room,260.0,2.0,1.0,2019-07-22,1.0,,
8254391,Beautiful Private Room at the Beach,92037,32.84436,-117.27719,Private room,85.0,6.0,2.0,2016-08-06,1.0,,
19792814,Room By UCSD Scripts UTC La Jolla Beach Westfield,92122,32.86843,-117.22355,Private room,169.0,3.0,12.0,2019-08-10,5.0,,
26302492,Suite Amy 4,92127,33.00161,-117.08584,Private room,50.0,10.0,8.0,2019-04-09,5.0,,
2088659,**South Mission Beach-front House**,92109,32.76345,-117.2533,Private room,499.0,1.0,4.0,2018-05-25,1.0,,
3053563,Quiet and clean senior apartment near UCSD,92122,32.85331,-117.20542,Entire home/apt,70.0,7.0,2.0,2017-01-28,2.0,,
21637159,Private bedroom is perfect retreat!,92123,32.78885,-117.14286,Private room,35.0,14.0,33.0,2019-08-03,2.0,,
25950734,"Comfortable, Clean, Relaxing - Central San Diego",92117,32.82701,-117.17562,Private room,70.0,7.0,1.0,2019-08-13,4.0,,
20364862,"Upscale apartment, Heart of UTC/La Jolla,Near UCSD",92122,32.86927,-117.22484,Private room,69.0,7.0,0.0,,1.0,,
20034931,Room for rent,91913,32.62621,-116.98846,Private room,80.0,6.0,0.0,,1.0,,
36766726,You wanna go to comic con and need place to stay,92108,32.77052,-117.14159,Shared room,475.0,1.0,0.0,,3.0,,
37092348,Gorgeous Master Bedroom w/Balcony Private Bath,92131,32.9043,-117.10719,Private room,65.0,7.0,1.0,2019-08-14,0.0,,
2728423,Private Room in The Heart of Little Italy,92101,32.72284,-117.16884,Private room,150.0,3.0,0.0,,0.0,,
20120289,AXOU,92037,32.86387,-117.23665,Private room,150.0,3.0,8.0,2019-06-29,1.0,,
11317859,Room In Gorgeous Canyon Top Home,92116,32.76604,-117.13511,Private room,60.0,7.0,0.0,,1.0,,
18073116,Tree room upstairs,92111,32.81455,-117.17837,Private room,60.0,7.0,3.0,2019-07-21,3.0,,
19914105,Large Room w/ Private Bathroom & Walk-in Closet.,91902,32.65785,-116.9999,Private room,140.0,3.0,9.0,2019-07-28,1.0,,
23685873,"Clean, comfortable, relaxing! Central San Diego",92117,32.82763,-117.17685,Private room,60.0,7.0,2.0,2019-07-20,4.0,,
26190169,Suite Amy 3,92127,33.00281,-117.08467,Private room,60.0,7.0,9.0,2019-08-03,5.0,,
7810094,Spacious 1BR/BA apt in North Park,92104,32.74788,-117.12076,Entire home/apt,80.0,5.0,0.0,,1.0,,
9859063,Great cozy home in San Diego,92117,32.82784,-117.18366,Private room,200.0,2.0,2.0,2019-07-21,2.0,,
17099811,Large Furnished Master Bedroom + Private .5 bath,92111,32.81849,-117.17312,Private room,40.0,10.0,3.0,2017-08-05,2.0,,
19791961,Brand New Luxury Apartment 6 min. from Comic Con,92101,32.70946,-117.15343,Entire home/apt,400.0,1.0,0.0,,1.0,,
20125872,CITY HEIGHTS SQUARE space recommended for Airbnb,92105,32.75113,-117.10217,Private room,100.0,4.0,3.0,2018-05-25,1.0,,
34371951,Quiet Heaven,92114,32.69612,-117.05542,Private room,200.0,2.0,0.0,,1.0,,
9315083,Beautiful Room in Ocean View La Jolla Home,92037,32.81336,-117.25813,Private room,79.0,5.0,9.0,2019-08-11,1.0,,
27635927,TRAVEL NURSE FRIENDLY (I was one) North Park Condo,92104,32.74751,-117.136,Private room,95.0,4.0,3.0,2018-12-31,1.0,,
28564795,San Diego Townhouse room with a view,92120,32.79106,-117.06075,Private room,125.0,3.0,0.0,,1.0,,
19955725,"Guest room-twin bed, pool, spa, quiet neighborhood",92117,32.83026,-117.21356,Private room,180.0,2.0,4.0,2019-03-13,1.0,,
29850271,South Park Room,92102,32.72643,-117.12486,Private room,180.0,2.0,0.0,,3.0,,
33361435,La Jolla Haven near the Beach,92037,32.87254,-117.24494,Private room,90.0,4.0,5.0,2019-06-21,1.0,,
