listing_id,name,host_id,neighbourhood,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,data_year
17807718,Private studio room in Hillcrest,115949360,Hillcrest,92103,32.74647,-117.16181,Private room,44.0,30,4.0,2019-08-01,,,2024
11226847,"Quiet Safe Neighborhood Close to Beach, Bay, UCSD!",58508816,Bay Ho,92117,32.81828,-117.21171,Private room,42.0,30,5.0,2019-08-11,,,2024
26564991,Home Away From Home for Professional or Student,20930005,Linda Vista,92111,32.79523,-117.1687,Private room,42.0,30,0.0,,,,2024
20455265,"QUIET, COZY Room in Carmel Valley. Close to UCSD",146015788,Carmel Valley,92130,32.9425,-117.2352,Private room,41.0,30,2.0,2018-11-01,,,2024
853488,A Nice Cozy Room in Fun Family Home,4456805,Mira Mesa,92126,32.92114,-117.14685,Private room,39.0,31,28.0,2018-01-31,,,2024
20093906,1B1B of Single Family with Private Entrance,25669785,Miramar Ranch North,92131,32.9303,-117.10468,Private room,39.0,31,6.0,2018-09-30,,,2024
20852562,★Cozy room with bathroom★,25502356,Morena,92111,32.77098,-117.18277,Private room,40.0,30,30.0,2019-08-08,,,2024
22656142,★Room for You★,25502356,Morena,92111,32.76991,-117.18118,Private room,48.0,25,8.0,2019-08-01,,,2024
30590175,Private master and bath in Hillcrest!,10164573,North Park,92104,32.74578,-117.14293,Private room,85.0,14,1.0,2019-04-09,,,2024
791505,Temporary Furnished Housing - Ideal For Students,3547828,Old Town,92110,32.74995,-117.19341,Private room,39.0,30,1.0,2018-06-19,,,2024
37774796,"Clean Bedroom - Ideal for Student, Intern, Coder",3547828,East Village,92101,32.71683,-117.15142,Private room,39.0,30,0.0,,,,2024
6360748,Welcoming town home in San Diego :),32618632,Point Loma Heights,92110,32.74809,-117.22727,Private room,55.0,21,8.0,2016-08-11,,,2024
20329937,Homey Condo blocks from downtown San Diego,125750345,Golden Hill,92102,32.71767,-117.14477,Private room,37.0,30,1.0,2019-04-01,,,2024
19037986,Summer In San Diego! Great Location! Furnished!,31407449,Hillcrest,92103,32.74771,-117.15552,Private room,36.0,30,0.0,,,,2024
2023443,"2. Close to Qualcomm UCSD,Clean,WIFI,AC,Parking",7653310,Mira Mesa,92126,32.90274,-117.13673,Private room,35.0,30,166.0,2019-01-01,,,2024
15829735,XL. Clean Bedroom / Fun Downtown San Diego,3547828,East Village,92101,32.71743,-117.1512,Private room,35.0,30,2.0,2017-04-03,,,2024
21276801,"Quiet San Diego Art-filled Home, Long-term Stays",54526854,,92124,32.8286,-117.07746,Private room,35.0,30,11.0,2019-08-10,,,2024
29876356,East Village - Ideal for Student or Intern,3547828,East Village,92101,32.71753,-117.15135,Private room,35.0,30,0.0,,,,2024
14358894,A quiet retreat for solo travellers,59637413,Talmadge,92115,32.76023,-117.08714,Private room,250.0,4,0.0,,,,2024
22166321,Relaxed room in beautiful Carmel Valley!,123828561,Carmel Valley,92130,32.94399,-117.23439,Private room,33.0,30,6.0,2019-07-28,,,2024
32286661,Private room and bath in a clean charming home.,94836570,Rancho Penasquitos,92129,32.9863,-117.08944,Private room,33.0,30,1.0,2019-04-28,,,2024
22066636,Rest in peace in the Blue Room just E of La Jolla,5190745,North Clairemont,92117,32.84214,-117.19042,Private room,35.0,28,7.0,2019-08-09,,,2024
25745817,Vibrant but relaxing room close to La Jolla!,5190745,North Clairemont,92117,32.84131,-117.19003,Private room,35.0,28,2.0,2019-04-11,,,2024
36558376,Near UCSD quiet space,17968424,University City,92122,32.86261,-117.21824,Private room,35.0,28,0.0,,,,2024
2234293,"1. Close to Qualcomm UCSD,Clean,WIFI,AC,Parking",7653310,Mira Mesa,92126,32.90321,-117.13889,Private room,48.0,20,166.0,2019-07-31,,,2024
28260942,San Diego Condominium,211704691,Clairemont Mesa East,92117,32.823,-117.18029,Private room,950.0,1,0.0,,,,2024
32267334,Panoramic Ocean Views in Ocean Beach,9894588,Point Loma Heights,92107,32.74207,-117.24416,Private room,94.0,10,1.0,2019-05-31,,,2024
21023173,July Special Private Room & bath in a nice home,151401927,,91910,32.64436,-117.04905,Private room,30.0,30,4.0,2019-06-21,,,2024
32307524,Heavenly home for all.,229250762,University City,92122,32.84951,-117.20328,Private room,180.0,5,0.0,,,,2024
34626173,Summer Single Master Bedroom,6212572,University City,92122,32.87118,-117.20284,Private room,45.0,20,0.0,,,,2024
35366975,SHARED ROOM NEAR UTC,65156984,University City,92122,32.8705,-117.21576,Shared room,30.0,30,0.0,,,,2024
3369288,A Tranquil haven in San Diego,16999041,Golden Hill,92102,32.71419,-117.14391,Private room,125.0,7,12.0,2019-05-16,,,2024
35767921,Ocean View La Jolla House Share,69113460,La Jolla,92037,32.82561,-117.27173,Private room,125.0,7,0.0,,,,2024
25268522,B1: Remodled Clean Private room Close to Qualcomm,7653310,Mira Mesa,92126,32.91192,-117.15523,Private room,40.0,20,8.0,2019-08-10,,,2024
37630130,Rm 1 Gem in Escondido perfect for a traveling Rn,284305492,San Pasqual,92025,33.06513,-117.05334,Private room,38.0,21,0.0,,,,2024
29625930,Month-To-Month Female Dorm Bed in Downtown SD,3324885,Little Italy,92101,32.72343,-117.16611,Shared room,24.0,30,0.0,,,,2024
3413201,Charming Craftsman in San Diego,16999041,Golden Hill,92102,32.71374,-117.14325,Private room,100.0,7,14.0,2019-08-16,,,2024
4058301,Cozy home!  Middle of the action!,21047879,Normal Heights,92116,32.76096,-117.11463,Private room,175.0,4,12.0,2015-09-08,,,2024
12591014,Room available for one month.,68298395,Serra Mesa,92123,32.80027,-117.1362,Private room,700.0,1,0.0,,,,2024
19194937,Comfortable and convenient to downtown San Diego,16999041,Golden Hill,92102,32.71487,-117.14545,Private room,100.0,7,13.0,2019-07-22,,,2024
